Date	Vehicle No	Trip No	Package No	Is Duplicate	Created At
25/12/2025	TN59AT0877	1	167	No	2025-12-27T08:49:58.236Z
25/12/2025	TN59AT0877	1	935	No	2025-12-27T08:49:58.547Z
25/12/2025	TN59AT0877	1	900	No	2025-12-27T08:49:58.864Z
25/12/2025	TN59AT0877	1	927	No	2025-12-27T08:49:59.168Z
25/12/2025	TN59AT0877	1	503	No	2025-12-27T08:49:59.625Z
25/12/2025	TN59AT0877	1	908	No	2025-12-27T08:49:59.924Z
25/12/2025	TN59AT0877	1	1005	No	2025-12-27T08:50:00.244Z
25/12/2025	TN59AT0877	1	1055	No	2025-12-27T08:50:00.572Z
25/12/2025	TN59AT0877	1	179	No	2025-12-27T08:50:00.872Z
25/12/2025	TN59AT0877	1	101	No	2025-12-27T08:50:01.196Z
25/12/2025	TN59AT0877	1	943	No	2025-12-27T08:50:01.512Z
25/12/2025	TN59AT0877	1	946	No	2025-12-27T08:50:02.134Z
25/12/2025	TN59AT0877	1	178	No	2025-12-27T08:50:02.849Z
25/12/2025	TN59AT0877	1	931	No	2025-12-27T08:50:03.153Z
25/12/2025	TN59AT0877	1	916	No	2025-12-27T08:50:03.458Z
25/12/2025	TN59AT0877	1	923	No	2025-12-27T08:50:03.754Z
25/12/2025	TN59AT0877	1	185	No	2025-12-27T08:50:04.050Z
25/12/2025	TN59AT0877	1	896	No	2025-12-27T08:50:04.349Z
25/12/2025	TN59AT0877	1	1065	No	2025-12-27T08:50:04.658Z
25/12/2025	TN59AT0877	1	944	No	2025-12-27T08:50:04.964Z
25/12/2025	TN59AT0877	1	939	No	2025-12-27T08:50:05.563Z
25/12/2025	TN59AT0877	1	888	No	2025-12-27T08:50:05.860Z
25/12/2025	TN59AT0877	1	920	No	2025-12-27T08:50:06.165Z
25/12/2025	TN59AT0877	1	1050	No	2025-12-27T08:50:06.534Z
25/12/2025	TN59AT0877	1	102	No	2025-12-27T08:50:06.848Z
25/12/2025	TN59AT0877	1	921	No	2025-12-27T08:50:07.153Z
25/12/2025	TN33BE1803	1	535	No	2025-12-27T08:50:07.755Z
25/12/2025	TN33BE1803	1	529	No	2025-12-27T08:50:08.070Z
25/12/2025	TN33BE1803	1	700	No	2025-12-27T08:50:08.685Z
25/12/2025	TN33BE1803	1	171	No	2025-12-27T08:50:08.991Z
25/12/2025	TN33BE1803	1	802	No	2025-12-27T08:50:09.292Z
25/12/2025	TN33BE1803	1	532	No	2025-12-27T08:50:09.601Z
25/12/2025	TN33BE1803	1	596	No	2025-12-27T08:50:09.911Z
25/12/2025	TN33BE1803	1	617	No	2025-12-27T08:50:10.218Z
25/12/2025	TN33BE1803	1	620	No	2025-12-27T08:50:10.524Z
25/12/2025	TN33BE1803	1	804	No	2025-12-27T08:50:10.829Z
